Age,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Monthly_Balance,Credit_Score,Auto Loan,Credit-Builder Loan,Debt Consolidation Loan,Home Equity Loan,Mortgage Loan,Payday Loan,Personal Loan,Student Loan,num_loan_types,spending_level,payment_size,Month_April,Month_August,Month_February,Month_January,Month_July,Month_June,Month_March,Month_May,Occupation_Accountant,Occupation_Architect,Occupation_Developer,Occupation_Doctor,Occupation_Engineer,Occupation_Entrepreneur,Occupation_Journalist,Occupation_Lawyer,Occupation_Manager,Occupation_Mechanic,Occupation_Media_Manager,Occupation_Musician,Occupation_Scientist,Occupation_Teacher,Occupation_Writer,debt_to_income,debt_per_loan,delay_ratio,high_utilization,age_group_young,age_group_adult,age_group_mid,age_group_senior,long_credit_history,income_delay,credit_history_per_age,total_credit_lines
32.0,14995.29,3118.399166666667,7.0,5.0,28.0,5.0,39,24.0,20.85,7.0,0,4593.28,29.968713768514853,38.0,1,60.535963716742955,54.73854091370111,278.586245369556,0,1,0,0,0,1,1,0,1,5,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30631484952941884,918.656,4.8,1,0.0,1.0,0.0,0.0,0,624.80375,1.1875,12.0
30.0,74902.8,6272.9000000000015,8.0,8.0,33.0,9.0,17,17.0,20.13,8.0,0,2900.49,28.086005822393822,153.0,1,534.7515340526268,52.25901203477476,280.27945391259857,0,0,0,0,0,0,0,0,1,1,1,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03872338550761787,322.27666666666664,1.8888888888888888,1,0.0,1.0,0.0,0.0,1,4406.047058823529,5.1,16.0
22.0,20574.71,1813.559166666667,7.0,9.0,25.0,6.0,22,22.0,3.36,6.0,0,2592.78,32.525087355662194,145.0,1,88.759974668174,77.89308197841973,284.70286002007293,0,0,0,0,0,0,0,0,1,1,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1260178150749148,432.13000000000005,3.6666666666666665,1,1.0,0.0,0.0,0.0,1,935.2140909090908,6.590909090909091,16.0
53.0,111090.06,9192.505,0.0,125.0,11.0,3.0,0,3.0,11.99,1.0,2,575.32,25.360742573010093,330.0,0,149.07965832974702,436.7372848909153,613.4335567793378,1,1,1,0,0,0,1,0,0,4,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0051788611870404976,191.77333333333334,1.0,1,0.0,0.0,0.0,1.0,1,37030.02,6.226415094339623,125.0
42.0,19214.965,1730.2470833333334,0.0,4.0,11.0,0.0,10,10.0,4.18,0.0,2,498.81,37.60026503918185,345.0,0,0.0,217.7804724472987,245.2442358860347,2,0,0,0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.025959453998485035,343.13583333333327,3.4285714285714284,1,0.0,0.0,1.0,0.0,1,1921.4965,8.214285714285714,4.0
14.0,39859.72,3118.399166666667,4.0,3.0,1.0,1.0,7,6.0,6.16,3.0,1,1281.92,27.210716899402257,221.64739298925488,1,21.15615013569883,42.34693899215396,496.76124420548064,2,0,1,0,0,0,0,0,0,1,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.03216078788310606,1281.92,6.0,1,0.0,0.0,0.0,0.0,1,6643.286666666667,0.015515351060918328,7.0
42.0,20851.59,3118.399166666667,4.0,6.0,18.0,1.0,20,15.0,14.46,5.0,1,1195.06,37.65638396653461,195.0,1,39072.0,140.56073545129144,300.3033525845476,1,0,0,0,0,1,0,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.05731265577349257,1195.06,15.0,1,0.0,0.0,1.0,0.0,1,1390.106,4.642857142857143,10.0
19.0,21039.8,1875.3166666666664,4.0,5.0,10.0,0.0,5,8.0,6.19,2.0,2,26.47,26.36080224857048,287.0,0,0.0,244.1099547860799,233.4217118805867,0,0,0,0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004272854304698714,343.13583333333327,3.4285714285714284,1,1.0,0.0,0.0,0.0,1,2629.975,15.105263157894736,9.0
46.0,15873.84,1114.82,7.0,6.0,34.0,6.0,19,14.0,18.38,9.0,0,4733.69,25.31538885207752,128.0,1,65.71693367809357,73.7292745629464,232.03579175896004,0,0,0,0,0,0,0,0,1,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.29820698709323007,788.9483333333333,2.3333333333333335,1,0.0,0.0,1.0,0.0,1,1133.8457142857144,2.782608695652174,13.0
45.0,9697.29,861.1075000000002,4.0,3.0,9.0,4.0,6,10.0,12.95,9.0,1,530.96,39.72561164518595,102.0,1,28.77453606166113,36.869434440643886,300.46677949769503,1,0,0,0,0,0,0,0,1,1,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05475344142538792,132.74,2.5,1,0.0,0.0,1.0,0.0,0,969.729,2.2666666666666666,7.0
